County|Publication Day|Deadline Description
PEACH|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
PICKENS|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
PUTNAM|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
TALBOT|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
TALIAFERRO|Friday|friday Week prior @ 12:00 (7 days prior @ 12pm)
WARE|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
WASHINGTON|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
WILCOX|Wednesday|monday Week of @ 3:30 (2 days prior @ 3:30pm)
FRANKLIN|Thursday|monday Week of @ 4:00 (3 days prior @ 4pm)
CAMDEN|Thursday|monday Week of @ 4:30 (3 days prior @ 4:30pm)
CHATTAHOOCHEE|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)
JEFF DAVIS|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)
MARION|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)
RANDOLPH|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)
SCHLEY|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)
SCREVEN|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)
SEMINOLE|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)
STEWART|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)
TERRELL|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)
WEBSTER|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)
SUMTER|Wednesday|monday Week of @ 9:00 (2 days prior @ 9am)
WALTON|Wednesday|monday Week of @ 9:00 (2 days prior @ 9am)
ATKINSON|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
COFFEE|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
EFFINGHAM|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)
ELBERT|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)
EVANS|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
HART|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
JONES|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
MONTGOMERY|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)
OGLETHORPE|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
RABUN|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
STEPHENS|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
TAYLOR|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
TELFAIR|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)
TOOMBS|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)
WAYNE|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)
WHEELER|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)
WARREN|Thursday|tuesday Week of @ 5:00 (2 days prior @ 5pm)
BRYAN|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)
BULLOCH|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)
CHATTOOGA|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)
FLOYD|Friday|tuesday Week of @ 12:00 (3 days prior @ 12pm)
LONG|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)
QUITMAN|Wednesday|tuesday Week of @ 12:00 (1 day prior @ 12pm)
TATTNALL|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)
CALHOUN|Friday|wednesday Week of @ 12:00 (2 days prior @ 12pm)
CLARKE|Friday|wednesday Week of @ 12:00 (2 days prior @ 12pm)
DOUGHERTY|Saturday|wednesday Week of @ 12:00 (3 days prior @ 12pm)
NEWTON|Saturday|wednesday Week of @ 12:00 (3 days prior @ 12pm)
WHITFIELD|Friday|wednesday Week of @ 12:00 (2 days prior @ 12pm)
TROUP|Saturday|thursday Week of @ 5:00 (2 days prior @ 5pm)
LAURENS|Saturday|thursday Week of @ 9:30 (2 days prior @ 9:30am)
GLYNN|Saturday|thursday Week of @ 12:00 (2 days prior @ 12pm)
