County|Publication Day|Deadline Description |Late Deadline Description
CATOOSA|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)|thursday Week prior @ 5:00 (6 days prior @ 5pm)
CHARLTON|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)|friday Week prior @ 4:00 (5 days prior @ 4pm)
CHATHAM|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|tuesday Week of @ 12:00 (2 days prior@ 12pm)
CHATTAHOOCHEE|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)|monday Week of @ 5:00 (2 days prior @ 5pm)
CHATTOOGA|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)|tuesday Week of @ 12:00 (2 days prior @ 12pm)
CHEROKEE|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|tuesday Week of @ 12:00 (2 days prior @ 12pm)
CLARKE|Friday|wednesday Week of @ 12:00 (2 days prior @ 12pm)|wednesday Week of @ 12:00 (2 days prior @ 12pm)
CLAY|Thursday|thursday Week prior @ 12:00 (7 days prior @ 12pm)|thursday Week prior @ 12:00 (7 days prior @ 12pm)
CLAYTON|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)|thursday Week prior @ 3:00 (6 days prior @ 3pm)
CLINCH|Wednesday|friday Week prior @ 3:00 (5 days prior @ 3pm)|friday Week prior @ 3:00 (5 days prior @ 3pm)
COBB|Friday|friday Week prior @ 12:00 (7 days prior @ 12pm)|tuesday Week of @ 12:00 (3 days prior @ 12pm)
COFFEE|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)|monday Week of @ 12:00 (3 days prior @ 12pm)
COLQUITT|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
COLUMBIA|Wednesday|thursday Week prior @ 4:00 (6 days prior @ 4pm)|thursday Week prior @ 4:00 (6 days prior @ 4pm)
COOK|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
COWETA|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
CRAWFORD|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
CRISP|Wednesday|monday Week of @ 11:00 (2 days prior @ 11am)|monday Week of @ 11:00 (2 days prior @ 11am)
DADE|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)|friday Week prior @ 4:00 (5 days prior @ 4pm)
DAWSON|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
DECATUR|Wednesday|thursday Week prior @ 3:00 (6 days prior @ 3pm)|thursday Week prior @ 3:00 (6 days prior @ 3pm)
DEKALB|Thursday|wednesday Week prior @ 12:00 (8 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
DODGE|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
DOOLY|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
DOUGHERTY|Friday|wednesday Week of @ 12:00 (2 days prior @ 12pm)|wednesday Week of @ 12:00 (2 days prior @ 12pm)
DOUGLAS|Tuesday|tuesday Week prior @ 4:00 (7 days prior @ 4pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
EARLY|Wednesday|thursday Week prior @ 4:00 (6 days prior @ 4pm)|thursday Week prior @ 4:00 (6 days prior @ 4pm)
ECHOLS|Friday|monday Week of @ 12:00 (4 days prior @ 12pm)|monday Week of @ 12:00 (4 days prior @ 12pm)
EFFINGHAM|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
ELBERT|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
EMANUEL|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
EVANS|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
FANNIN|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
FAYETTE|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
FLOYD|Friday|tuesday Week of @ 12:00 (3 days prior @ 12pm)|tuesday Week of @ 12:00 (3 days prior @ 12pm)
FORSYTH|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
FRANKLIN|Thursday|monday Week of @ 4:00 (3 days prior @ 4pm)|monday Week of @ 4:00 (3 days prior @ 4pm)
FULTON|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|monday Week of @ 5:00 (3 days prior @ 12pm)
GILMER|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
GLASCOCK|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)|thursday Week prior @ 4:00 (7 days prior @ 4pm)
GLYNN|Saturday|thursday Week of @ 12:00 (2 days prior @ 12pm)|thursday Week of @ 12:00 (2 days prior @ 12pm)
GORDON|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
GRADY|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
GREENE|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
GWINNETT|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)|thursday Week prior @ 3:00 (6 days prior @ 3pm)
HABERSHAM|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
HALL|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)|monday Week of @ 5:00 (2 days prior @ 5pm)
HANCOCK|Thursday|friday Week prior @ 4:00 (6 days prior @ 4pm)|friday Week prior @ 4:00 (6 days prior @ 4pm)
HARALSON|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)|tuesday Week of @ 12:00 (2 days prior @ 12pm)
HARRIS|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
HART|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)|monday Week of @ 12:00 (3 days prior @ 12pm)
HEARD|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
HENRY|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)|thursday Week prior @ 3:00 (6 days prior @ 3pm)
HOUSTON|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
IRWIN|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
JACKSON|Wednesday|wednesday Week prior @ 12:00 (7 days prior @ 12pm)|wednesday Week prior @ 12:00 (7 days prior @ 12pm)
JASPER|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
JEFF DAVIS|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)|monday Week of @ 5:00 (2 days prior @ 5pm)
JEFFERSON|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)|thursday Week prior @ 4:00 (7 days prior @ 4pm)
JENKINS|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)|thursday Week prior @ 5:00 (6 days prior @ 5pm)
JOHNSON|Tuesday|thursday Week prior @ 12:00 (5 days prior @ 12pm)|thursday Week prior @ 12:00 (5 days prior @ 12pm)
JONES|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)|monday Week of @ 12:00 (3 days prior @ 12pm)
LAMAR|Tuesday|thursday Week prior @ 10:00 (5 days prior @ 10am)|thursday Week prior @ 10:00 (5 days prior @ 10am)
LANIER|Wednesday|friday Week prior @ 3:00 (5 days prior @ 3pm)|friday Week prior @ 3:00 (5 days prior @ 3pm)
LAURENS|Saturday|thursday Week of @ 10:00 (2 days prior @ 10am)|thursday Week of @ 10:00 (2 days prior @ 10am)
LEE|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
LIBERTY|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
LINCOLN|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
LONG|Monday|wednesday Week prior @ 5:00 (9 days prior @ 5pm)|wednesday Week prior @ 5:00 (9 days prior @ 5pm)
LOWNDES|Friday|monday Week of @ 12:00 (4 days prior @ 12pm)|monday Week of @ 12:00 (4 days prior @ 12pm)
LUMPKIN|Wednesday|friday Week prior @ 3:00 (5 days prior @ 3pm)|friday Week prior @ 3:00 (5 days prior @ 3pm)
MACON|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
MADISON|Thursday|wednesday Week prior @ 12:00 (8 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
MARION|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)|monday Week of @ 5:00 (2 days prior @ 5pm)
MCDUFFIE|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
MCINTOSH|Thursday|thursday Week prior @ 12:00 (7 days prior @ 12pm)|thursday Week prior @ 12:00 (7 days prior @ 12pm)
MERIWETHER|Friday|friday Week prior @ 12:00 (7 days prior @ 12pm)|friday Week prior @ 12:00 (7 days prior @ 12pm)
MILLER|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
MITCHELL|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
MONROE|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
MONTGOMERY|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
MORGAN|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
MURRAY|Wednesday|wednesday Week prior @ 5:00 (7 days prior @ 5pm)|wednesday Week prior @ 5:00 (7 days prior @ 5pm)
MUSCOGEE|Tuesday|wednesday Week prior @ 12:00 (6 days prior @ 12pm)|wednesday Week prior @ 12:00 (6 days prior @ 12pm)
NEWTON|Sunday|wednesday Week prior @ 12:00 (4 days prior @ 12pm)|wednesday Week prior @ 12:00 (4 days prior @ 12pm)
OCONEE|Thursday|thursday Week prior @ 3:00 (7 days prior @ 3pm)|thursday Week prior @ 3:00 (7 days prior @ 3pm)
OGLETHORPE|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
PAULDING|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
PEACH|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
PICKENS|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
PIERCE|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|monday Week of @ 5:00 (2 days prior @ 5pm)
PIKE|Wednesday|thursday Week prior @ 1:00 (6 days prior @ 1pm)|thursday Week prior @ 1:00 (6 days prior @ 1pm)
POLK|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)|thursday Week prior @ 5:00 (6 days prior @ 5pm)
PULASKI|Tuesday|thursday Week prior @ 12:00 (5 days prior @ 12pm)|thursday Week prior @ 12:00 (5 days prior @ 12pm)
PUTNAM|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)|friday Week prior @ 12:00 (6 days prior @ 12pm)
QUITMAN|Wednesday|tuesday Week of @ 12:00 (1 day prior @ 12pm)|tuesday Week of @ 12:00 (1 day prior @ 12pm)
RABUN|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)|monday Week of @ 12:00 (3 days prior @ 12pm)
RANDOLPH|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)|monday Week of @ 5:00 (2 days prior @ 5pm)
RICHMOND|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)|thursday Week prior @ 4:00 (7 days prior @ 4pm)
ROCKDALE|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)|thursday Week prior @ 3:00 (6 days prior @ 3pm)
SCHLEY|Wednesday|monday Week of @ 5:00 (2 days prior @ 5pm)|monday Week of @ 5:00 (2 days prior @ 5pm)
SCREVEN|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)|monday Week of @ 5:00 (3 days prior @ 5pm)
SEMINOLE|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)|monday Week of @ 5:00 (3 days prior @ 5pm)
SPALDING|Friday|friday Week prior @ 4:00 (7 days prior @ 4pm)|friday Week prior @ 4:00 (7 days prior @ 4pm)
STEPHENS|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)|monday Week of @ 12:00 (3 days prior @ 12pm)
STEWART|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)|monday Week of @ 5:00 (3 days prior @ 5pm)
SUMTER|Wednesday|monday Week of @ 9:00 (2 days prior @ 9am)|monday Week of @ 9:00 (2 days prior @ 9am)
TALBOT|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
TALIAFERRO|Friday|friday Week prior @ 12:00 (7 days prior @ 12pm)|friday Week prior @ 12:00 (7 days prior @ 12pm)
TATTNALL|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)|tuesday Week of @ 12:00 (2 days prior @ 12pm)
TAYLOR|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
TELFAIR|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)|friday Week prior @ 4:00 (5 days prior @ 4pm)
TERRELL|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)|monday Week of @ 5:00 (3 days prior @ 5pm)
THOMAS|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
TIFT|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
TOOMBS|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
TOWNS|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)|friday Week prior @ 4:00 (5 days prior @ 4pm)
TREUTLEN|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
TROUP|Friday|tuesday Week of @ 5:00 (3 days prior @ 5pm)|tuesday Week of @ 5:00 (3 days prior @ 5pm)
TURNER|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
TWIGGS|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)|thursday Week prior @ 4:00 (7 days prior @ 4pm)
UNION|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)|friday Week prior @ 4:00 (5 days prior @ 4pm)
UPSON|Thursday|friday Week prior @ 10:00 (8 days prior @ 10am)|friday Week prior @ 10:00 (8 days prior @ 10am)
WALKER|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)|thursday Week prior @ 5:00 (6 days prior @ 5pm)
WALTON|Wednesday|monday Week of @ 9:00 (2 days prior @ 9am)|monday Week of @ 9:00 (2 days prior @ 9am)
WARE|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
WARREN|Thursday|tuesday Week of @ 5:00 (2 days prior @ 5pm)|tuesday Week of @ 5:00 (2 days prior @ 5pm)
WASHINGTON|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
WAYNE|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)|monday Week of @ 12:00 (3 days prior @ 12pm)
WEBSTER|Thursday|monday Week of @ 5:00 (3 days prior @ 5pm)|monday Week of @ 5:00 (3 days prior @ 5pm)
WHEELER|Wednesday|monday Week of @ 12:00 (2 days prior @ 12pm)|monday Week of @ 12:00 (2 days prior @ 12pm)
WHITE|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
WHITFIELD|Friday|wednesday Week of @ 12:00 (2 days prior @ 12pm)|wednesday Week of @ 12:00 (2 days prior @ 12pm)
WILCOX|Wednesday|monday Week of @ 3:30 (2 days prior @ 3:30pm)|monday Week of @ 3:30 (2 days prior @ 3:30pm)
WILKES|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)|friday Week prior @ 5:00 (6 days prior @ 5pm)
WILKINSON|Thursday|thursday Week prior @ 12:00 (7 days prior @ 12pm)|tuesday Week prior @ 12:00
WORTH|Wednesday|thursday Week prior @ 3:00 (6 days prior @ 3pm)|thursday Week prior @ 3:00 (6 days prior @ 3pm)
